cap,color,drive,fuel,km,make,model,power,price,trans,year
1328cm3,Innykolor,4x4dołączanyręcznie,Benzyna,131700km,Suzuki,Jimny,85KM,31500,Manualna,2008
1599cm3,Srebrny,Naprzedniekoła,Benzyna,118000km,Ford,Streetka,95KM,9300,Manualna,2004
2500cm3,Czerwony,Natylnekoła,Benzyna,85509km,Triumph,TR5,152KM,195000,Manualna,1968
3640cm3,Biały,Natylnekoła,Benzyna,16882km,Chevrolet,Camaro,335KM,209000,Automatyczna,2019
1798cm3,Szary,Natylnekoła,Benzyna,38000km,Mazda,MX5,126KM,69900,Manualna,2011
4966cm3,Czarny,Natylnekoła,Benzyna,119000km,MercedesBenz,SL,306KM,89000,Automatyczna,2003
2993cm3,Niebieski,Natylnekoła,Diesel,231073km,BMW,Seria6,286KM,75000,Automatyczna,2007
1796cm3,Czarny,Natylnekoła,Benzyna,240000km,MercedesBenz,SLK,183KM,38000,Manualna,2008
1998cm3,Czarny,Naprzedniekoła,Benzyna,159337km,Renault,Megane,135KM,9900,Manualna,2003
1587cm3,Zielony,Naprzedniekoła,Benzyna,235000km,Peugeot,206CC,110KM,7900,Manualna,2003
1895cm3,Srebrny,Natylnekoła,Benzyna,142800km,BMW,Z3,140KM,26900,Manualna,1998
4973cm3,Niebieski,Natylnekoła,Benzyna,143269km,MercedesBenz,SL,326KM,119000,Automatyczna,1991
1997cm3,Srebrny,Natylnekoła,Benzyna,70000km,BMW,Seria4,245KM,119000,Automatyczna,2014
1984cm3,Czarny,Naprzedniekoła,Benzyna,188430km,Audi,A3,200KM,34000,Automatyczna,2008
1796cm3,Biały,Natylnekoła,Benzyna,213212km,BMW,Z3,115KM,15500,Manualna,1998
1781cm3,Czarny,Naprzedniekoła,Benzyna,239900km,Audi,A4,163KM,18900,Manualna,2003
1997cm3,Srebrny,4x4stały,Benzyna,141000km,BMW,Seria4,245KM,94900,Automatyczna,2015
1968cm3,Innykolor,Naprzedniekoła,Diesel,259000km,Volkswagen,Eos,140KM,36900,Automatyczna,2010
3500cm3,Czerwony,Natylnekoła,Benzyna,95200km,Ferrari,348,330KM,255900,Manualna,1992
3179cm3,Czerwony,Natylnekoła,Benzyna,36282km,Porsche,Boxster,251KM,114390,Automatyczna,2002
5439cm3,Srebrny,Natylnekoła,Benzyna,125800km,MercedesBenz,SL,476KM,115000,Automatyczna,2003
1896cm3,Niebieski,Naprzedniekoła,Diesel,230000km,Volkswagen,NewBeetle,101KM,24000,Manualna,2004
4973cm3,Czarny,Natylnekoła,Benzyna,250000km,MercedesBenz,SL,326KM,100000,Automatyczna,1991
3246cm3,Biały,Natylnekoła,Benzyna,104750km,BMW,Z4M,343KM,139900,Manualna,2007
1598cm3,Szary,Naprzedniekoła,Benzyna,170000km,Peugeot,207CC,120KM,16900,Manualna,2008
1364cm3,Czarny,Naprzedniekoła,Benzyna,120000km,Opel,Tigra,90KM,9000,Automatyczna,2005
1968cm3,Czarny,Naprzedniekoła,Diesel,253817km,Audi,A3,140KM,32700,Manualna,2012
2195cm3,Szary,Naprzedniekoła,Benzyna,88931km,Chevrolet,Cavalier,120KM,32900,Automatyczna,1988
1598cm3,Szary,Naprzedniekoła,Benzyna,159450km,Peugeot,207CC,120KM,14850,Manualna,2008
5345cm3,Szary,Natylnekoła,Benzyna,288000km,Jaguar,XJS,295KM,95000,Automatyczna,1987
1468cm3,Srebrny,Naprzedniekoła,BenzynaLPG,162227km,Mitsubishi,Colt,150KM,14899,Manualna,2006
6208cm3,Biały,Natylnekoła,Benzyna,100000km,MercedesBenz,SL,525KM,199000,Automatyczna,2009
1999cm3,Innykolor,4x4stały,Benzyna,58600km,LandRover,RangeRoverEvoque,240KM,170000,Automatyczna,2016
1796cm3,Czarny,Naprzedniekoła,Benzyna,130000km,Opel,Tigra,125KM,11800,Manualna,2005
3724cm3,Biały,Natylnekoła,Benzyna,12210km,MercedesBenz,SL,245KM,115000,Automatyczna,2005
2995cm3,Czarny,Natylnekoła,Benzyna,41842km,Jaguar,FType,381KM,239900,Automatyczna,2013
1598cm3,Srebrny,Naprzedniekoła,Benzyna,67411km,Peugeot,207CC,120KM,16800,Automatyczna,2008
3201cm3,Czarny,Natylnekoła,Benzyna,108320km,BMW,M3,321KM,139898,Manualna,1999
2687cm3,Srebrny,Natylnekoła,Benzyna,91000km,Porsche,Boxster,220KM,83000,Automatyczna,2002
1997cm3,Niebieski,Natylnekoła,Benzyna,36000km,Jaguar,FType,300KM,184400,Automatyczna,2019
1997cm3,Czarny,Naprzedniekoła,Diesel,165000km,Peugeot,308CC,140KM,25900,Manualna,2009
1390cm3,Innykolor,Naprzedniekoła,Benzyna,182000km,Volkswagen,Eos,160KM,24900,Manualna,2009
5700cm3,Niebieski,Natylnekoła,Benzyna,7000km,Inny,Inny,427KM,114800,Manualna,1965
2496cm3,Czarny,Naprzedniekoła,Diesel,328768km,Audi,A4,163KM,14900,Automatyczna,2004
1795cm3,Czarny,4x4dołączanyautomatycznie,Benzyna,140000km,MercedesBenz,SLK,163KM,42000,Automatyczna,2006
6208cm3,Czarny,Natylnekoła,Benzyna,54140km,MercedesBenz,SL,525KM,319000,Automatyczna,2008
5038cm3,Srebrny,Natylnekoła,Benzyna,10km,Ford,Mustang,450KM,311200,Automatyczna,2020
1968cm3,Czarny,Naprzedniekoła,Diesel,208000km,Volkswagen,Eos,140KM,19900,Manualna,2008
1598cm3,Czarny,Naprzedniekoła,Benzyna,110000km,Peugeot,207CC,120KM,15700,Manualna,2007
3995cm3,Zielony,Natylnekoła,Benzyna,6250km,Porsche,718Boxster,400KM,616690,Automatyczna,2021
2198cm3,Niebieski,Naprzedniekoła,Benzyna,176658km,Opel,Astra,147KM,13900,Manualna,2003
2143cm3,Srebrny,Natylnekoła,Diesel,153000km,MercedesBenz,SLK,204KM,58000,Automatyczna,2012
1796cm3,Czarny,Natylnekoła,Benzyna,190344km,MercedesBenz,SLK,163KM,33900,Manualna,2005
3982cm3,Żółty,Natylnekoła,Benzyna,30590km,MercedesBenz,AMGGT,557KM,750300,Automatyczna,2017
1598cm3,Szary,Naprzedniekoła,Benzyna,132215km,Peugeot,207CC,120KM,12900,Manualna,2008
4293cm3,Srebrny,Natylnekoła,Benzyna,122793km,Lexus,SC,285KM,49800,Automatyczna,2002
5547cm3,Biały,Natylnekoła,Benzyna,146007km,MercedesBenz,SL,232KM,46900,Automatyczna,1987
4966cm3,Czarny,Natylnekoła,Benzyna,139959km,MercedesBenz,SL,306KM,39900,Automatyczna,1999
5549cm3,Biały,Natylnekoła,Benzyna,149928km,MercedesBenz,SL,227KM,42900,Automatyczna,1988
2746cm3,Srebrny,Natylnekoła,Benzyna,221054km,MercedesBenz,SL,182KM,19900,Automatyczna,1980
4520cm3,Biały,Natylnekoła,Benzyna,439000km,MercedesBenz,SL,190KM,35900,Automatyczna,1972
4966cm3,Beżowy,Natylnekoła,Benzyna,68000km,MercedesBenz,SL,306KM,76900,Automatyczna,2003
3199cm3,Biały,Natylnekoła,Benzyna,199839km,MercedesBenz,KlasaE,220KM,69900,Automatyczna,1995
1590cm3,Zielony,4x4dołączanyręcznie,Benzyna,207500km,Suzuki,Vitara,80KM,11000,Manualna,1995
1985cm3,Czarny,Naprzedniekoła,BenzynaLPG,178000km,Saab,93,185KM,9900,Automatyczna,1999
5300cm3,Niebieski,Natylnekoła,Benzyna,80000km,Pontiac,TransAm,210KM,70000,Automatyczna,1985
2687cm3,Czarny,Natylnekoła,Benzyna,114800km,Porsche,Boxster,220KM,76900,Manualna,2001
1998cm3,Srebrny,Natylnekoła,Benzyna,187655km,MercedesBenz,SLK,136KM,11500,Manualna,1999
1798cm3,Niebieski,Naprzedniekoła,Benzyna,195000km,Audi,TT,180KM,47900,Manualna,2012
1895cm3,Niebieski,Natylnekoła,Benzyna,210000km,BMW,Z3,118KM,24990,Manualna,1999
1968cm3,Czerwony,Naprzedniekoła,Diesel,,Volkswagen,Eos,140KM,39900,Manualna,2011
4973cm3,Czarny,Natylnekoła,Benzyna,198149km,MercedesBenz,SL,320KM,47200,Automatyczna,1998
2198cm3,Czerwony,Naprzedniekoła,Benzyna,22360km,AlfaRomeo,Spider,185KM,109900,Manualna,2007
1587cm3,Niebieski,Naprzedniekoła,Benzyna,239061km,Peugeot,206CC,110KM,8900,Manualna,2003
1598cm3,Czarny,Naprzedniekoła,Benzyna,156557km,Peugeot,207CC,150KM,14950,Manualna,2007
1360cm3,Srebrny,Naprzedniekoła,Benzyna,215000km,Citroën,C3,73KM,9900,Manualna,2009
1997cm3,Srebrny,Naprzedniekoła,Diesel,122000km,Peugeot,308CC,163KM,36800,Manualna,2011
1995cm3,Czerwony,Natylnekoła,Benzyna,26000km,Fiat,124Spider,90KM,95000,Manualna,1979
1996cm3,Niebieski,4x4dołączanyręcznie,Diesel,9km,Ford,RangerRaptor,213KM,271018,Automatyczna,2022
4395cm3,Biały,4x4stały,Benzyna,57500km,BMW,Seria6,449KM,159900,Automatyczna,2014
1197cm3,Czarny,Naprzedniekoła,Benzyna,73800km,Volkswagen,Golf,105KM,34500,Manualna,2011
1997cm3,Czerwony,Naprzedniekoła,Diesel,119500km,Volvo,C70,136KM,44900,Manualna,2008
1600cm3,Biały,Natylnekoła,Benzyna,89000km,MG,TD,84KM,58500,Manualna,1972
4395cm3,Szary,4x4dołączanyautomatycznie,Benzyna,6000km,BMW,M8,625KM,699000,Automatyczna,2020
5439cm3,Biały,Natylnekoła,Benzyna,121000km,MercedesBenz,SLK,360KM,94000,Automatyczna,2006
1998cm3,Czerwony,Natylnekoła,Benzyna,1km,Mazda,MX5,184KM,170700,Manualna,2021
1985cm3,Srebrny,Naprzedniekoła,Benzyna,212000km,Saab,93,205KM,10900,Manualna,2001
4700cm3,Czarny,Natylnekoła,Benzyna,65800km,Ford,Mustang,200KM,99000,Manualna,1966
1598cm3,Szary,Naprzedniekoła,Benzyna,131200km,Peugeot,207CC,120KM,15250,Manualna,2007
1795cm3,Czarny,Natylnekoła,Benzyna,137000km,MercedesBenz,SLK,163KM,29900,Manualna,2004
4966cm3,Srebrny,Natylnekoła,Benzyna,88857km,MercedesBenz,SL,306KM,24000,Automatyczna,2004
4966cm3,Srebrny,Natylnekoła,Benzyna,60000km,MercedesBenz,SL,306KM,34500,Automatyczna,2006
1598cm3,Czarny,Naprzedniekoła,Benzyna,188000km,Opel,Astra,180KM,12400,Manualna,2009
1796cm3,Srebrny,Naprzedniekoła,Benzyna,197200km,Opel,Tigra,125KM,8900,Manualna,2004
1598cm3,Czarny,Naprzedniekoła,Benzyna,175000km,Peugeot,207CC,120KM,18900,Manualna,2008
4395cm3,Szary,4x4stały,Benzyna,24000km,BMW,M8,625KM,629000,Automatyczna,2019
3498cm3,Czerwony,Natylnekoła,Benzyna,64268km,MercedesBenz,SLK,306KM,114900,Automatyczna,2012
4973cm3,Czarny,Natylnekoła,Benzyna,13298km,MercedesBenz,SL,326KM,299000,Automatyczna,1992
1597cm3,Niebieski,Natylnekoła,Benzyna,100000km,Mazda,MX5,110KM,15500,Manualna,1999
1598cm3,Czarny,Naprzedniekoła,Benzyna,91000km,MINI,ONE,90KM,27900,Manualna,2007
1998cm3,Szary,Natylnekoła,Benzyna,9274km,Mazda,MX5,184KM,95900,Manualna,2020
4395cm3,Szary,4x4stały,Benzyna,18500km,BMW,Seria8,530KM,579000,Automatyczna,2020
602cm3,Innykolor,Naprzedniekoła,Benzyna,88000km,Citroën,2CV,29KM,94000,Manualna,1979
1795cm3,Srebrny,Natylnekoła,Benzyna,186000km,MercedesBenz,SLK,163KM,35900,Automatyczna,2006
5980cm3,Czerwony,4x4stały,Benzyna,400km,MercedesBenz,KlasaS,630KM,2399900,Automatyczna,2017
1999cm3,Brązowy,Naprzedniekoła,Benzyna,199500km,Ford,Focus,145KM,12000,Manualna,2007
1598cm3,Czarny,Naprzedniekoła,BenzynaLPG,230000km,Renault,Megane,115KM,11900,Manualna,2005
1461cm3,Złoty,Naprzedniekoła,Diesel,213000km,Renault,Megane,106KM,9999,Manualna,2008
2698cm3,Czarny,Naprzedniekoła,Diesel,214000km,Audi,A5,190KM,10000,Automatyczna,2011
1984cm3,Niebieski,Naprzedniekoła,Benzyna,112000km,Audi,A4,200KM,22222,Automatyczna,2008
2979cm3,Czarny,Natylnekoła,Benzyna,33000km,BMW,Z4,340KM,147000,Automatyczna,2013
1910cm3,Beżowy,Naprzedniekoła,Diesel,181484km,Opel,Astra,150KM,17999,Manualna,2007
1781cm3,Niebieski,4x4stały,Benzyna,230000km,Audi,A4,163KM,7900,Manualna,2004
2976cm3,Szary,Naprzedniekoła,Benzyna,170000km,Audi,A4,220KM,18500,Automatyczna,2003
5549cm3,Czerwony,Natylnekoła,Benzyna,167080km,MercedesBenz,SL,227KM,95000,Automatyczna,1987
1395cm3,Zielony,Natylnekoła,Benzyna,65000km,Austin,Healey,100KM,16500,Manualna,1970
4966cm3,Czarny,Natylnekoła,Benzyna,250000km,MercedesBenz,SL,309KM,69900,Automatyczna,1998
1988cm3,Zielony,Natylnekoła,Benzyna,11500km,Porsche,718Boxster,300KM,439718,Automatyczna,2021
5345cm3,Zielony,Natylnekoła,Benzyna,107000km,Jaguar,XJS,295KM,65900,Automatyczna,1986
1895cm3,Srebrny,Natylnekoła,Benzyna,139000km,BMW,Z3,140KM,36000,Manualna,1996
4500cm3,Czarny,Natylnekoła,Benzyna,200000km,MercedesBenz,SL,225KM,49000,Automatyczna,1979
2996cm3,Czerwony,Natylnekoła,Benzyna,63900km,MercedesBenz,KlasaE,333KM,119999,Automatyczna,2016
1598cm3,Czarny,Naprzedniekoła,Benzyna,157000km,Peugeot,207CC,120KM,10900,Manualna,2007
1998cm3,Innykolor,Naprzedniekoła,Benzyna,197110km,Saab,93,175KM,21500,Manualna,2003
1968cm3,Niebieski,Naprzedniekoła,Diesel,176000km,Volkswagen,Eos,140KM,28999,Automatyczna,2007
4196cm3,Brązowy,Natylnekoła,Benzyna,150000km,Jaguar,XK,416KM,97000,Automatyczna,2008
1598cm3,Niebieski,Naprzedniekoła,Benzyna,189000km,Opel,Astra,105KM,20900,Manualna,2006
1796cm3,Czarny,Naprzedniekoła,Benzyna,74850km,Opel,Astra,140KM,19900,Manualna,2008
1781cm3,Zielony,Naprzedniekoła,Benzyna,248000km,Volkswagen,Golf,90KM,6500,Manualna,1994
5998cm3,Biały,4x4dołączanyautomatycznie,Benzyna,65600km,Bentley,ContinentalGT,560KM,147999,Automatyczna,2008
4966cm3,Szary,Natylnekoła,Benzyna,184772km,MercedesBenz,SL,306KM,18900,Automatyczna,2003
4973cm3,Złoty,Natylnekoła,Benzyna,141000km,MercedesBenz,SL,320KM,55000,Automatyczna,1998
2687cm3,Czarny,Natylnekoła,Benzyna,105800km,Porsche,Boxster,245KM,98000,Automatyczna,2006
1998cm3,Złoty,Naprzedniekoła,Benzyna,297000km,Peugeot,306,121KM,3990,Manualna,1994
1781cm3,Niebieski,Naprzedniekoła,BenzynaLPG,210000km,Audi,A4,163KM,19900,Manualna,2004
1997cm3,Srebrny,Naprzedniekoła,Benzyna,199426km,Peugeot,307CC,138KM,11000,Manualna,2003
5980cm3,Biały,Natylnekoła,Benzyna,21km,Maybach,Inny,630KM,340000,Automatyczna,2017
1598cm3,Niebieski,Naprzedniekoła,Benzyna,118210km,MINI,CooperS,170KM,29900,Manualna,2005
3724cm3,Biały,Natylnekoła,Benzyna,91921km,MercedesBenz,SL,245KM,85900,Automatyczna,2005
3199cm3,Czarny,Natylnekoła,Benzyna,248000km,MercedesBenz,CLK,218KM,29999,Automatyczna,2005
1997cm3,Niebieski,Naprzedniekoła,Benzyna,158000km,Peugeot,206CC,138KM,7500,Manualna,2001
3199cm3,Srebrny,Natylnekoła,BenzynaLPG,286050km,MercedesBenz,CLK,218KM,26900,Automatyczna,2001
1910cm3,Innykolor,Naprzedniekoła,Diesel,,Opel,Astra,150KM,15900,Manualna,2006
1870cm3,Beżowy,Naprzedniekoła,Diesel,209760km,Renault,Megane,115KM,6500,Manualna,2004
1995cm3,Szary,Natylnekoła,Benzyna,220000km,BMW,Seria3,143KM,31900,Manualna,2004
1910cm3,Czarny,Naprzedniekoła,Diesel,107000km,Saab,93,150KM,35000,Manualna,2008
4966cm3,Srebrny,Natylnekoła,Benzyna,104998km,MercedesBenz,SL,306KM,88000,Automatyczna,2004
4966cm3,Srebrny,Natylnekoła,Benzyna,40148km,MercedesBenz,SL,306KM,129900,Automatyczna,2002
2999cm3,Czerwony,4x4stały,Benzyna,48800km,MercedesBenz,KlasaE,435KM,499900,Automatyczna,2019
3498cm3,Biały,Natylnekoła,Benzyna,205000km,Nissan,350Z,280KM,47000,Automatyczna,2005
1796cm3,Niebieski,Naprzedniekoła,Benzyna,,Opel,Tigra,125KM,9999,Manualna,2005
2261cm3,Niebieski,Natylnekoła,Benzyna,23400km,Ford,Mustang,289KM,147000,Automatyczna,2019
1998cm3,Innykolor,Natylnekoła,Benzyna,198000km,MercedesBenz,SLK,136KM,18900,Manualna,1999
2494cm3,Czarny,Natylnekoła,Benzyna,310000km,BMW,Seria3,170KM,67900,Automatyczna,1991
1479cm3,Biały,Natylnekoła,Benzyna,16400km,MercedesBenz,KlasaC,156KM,188190,Automatyczna,2020
5549cm3,Czerwony,Natylnekoła,Benzyna,281757km,MercedesBenz,SL,227KM,119900,Automatyczna,1986
1496cm3,Bordowy,Natylnekoła,Benzyna,73000km,Mazda,MX5,130KM,79900,Manualna,2017
1598cm3,Bordowy,Naprzedniekoła,Benzyna,146000km,Peugeot,207CC,120KM,7999,Manualna,2010
1598cm3,Szary,Naprzedniekoła,Benzyna,186000km,Peugeot,207CC,120KM,17900,Manualna,2011
5461cm3,Biały,Natylnekoła,Benzyna,130540km,MercedesBenz,SL,388KM,94900,Automatyczna,2008
1798cm3,Innykolor,Naprzedniekoła,Benzyna,158670km,Mazda,MX5,126KM,33900,Manualna,2006
4520cm3,Srebrny,Natylnekoła,Benzyna,305134km,MercedesBenz,SL,179KM,65900,Automatyczna,1980
1995cm3,Czarny,Natylnekoła,Benzyna,137873km,BMW,Seria3,170KM,32900,Manualna,2011
2996cm3,Biały,Natylnekoła,Benzyna,181000km,BMW,Seria3,230KM,44900,Automatyczna,2009
1599cm3,Szary,Naprzedniekoła,Benzyna,172000km,Ford,Streetka,95KM,6999,Manualna,2004
1781cm3,Niebieski,Naprzedniekoła,Benzyna,210000km,Audi,A4,163KM,14999,Manualna,2004
2706cm3,Niebieski,Natylnekoła,Benzyna,114343km,Porsche,Boxster,265KM,159000,Automatyczna,2014
1386cm3,Innykolor,Naprzedniekoła,Benzyna,184000km,Nissan,Micra,88KM,9800,Manualna,2006
6162cm3,Czerwony,Natylnekoła,Benzyna,900km,Chevrolet,Corvette,482KM,830000,Automatyczna,2022
1390cm3,Czarny,Naprzedniekoła,Benzyna,176096km,Volkswagen,Golf,122KM,32900,Manualna,2012
1998cm3,Niebieski,Natylnekoła,Benzyna,97250km,MercedesBenz,W12419841993,136KM,109000,Automatyczna,1997
1991cm3,Szary,Natylnekoła,Benzyna,9100km,MercedesBenz,KlasaE,197KM,369900,Automatyczna,2020
3818cm3,Szary,Natylnekoła,Benzyna,215169km,MercedesBenz,SLC,218KM,249000,Automatyczna,1981
1998cm3,Szary,Natylnekoła,Benzyna,24480km,BMW,Z4,258KM,259800,Automatyczna,2019
1995cm3,Czarny,Natylnekoła,Benzyna,164000km,BMW,Seria3,143KM,30900,Manualna,2005
1796cm3,Srebrny,Natylnekoła,Benzyna,72000km,MercedesBenz,SLK,184KM,62000,Manualna,2011
3199cm3,Czarny,Natylnekoła,Benzyna,67177km,MercedesBenz,W12419841993,220KM,189000,Automatyczna,1993
1598cm3,Czerwony,Naprzedniekoła,Benzyna,81000km,MINI,Cooper,120KM,28900,Manualna,2007
2698cm3,Czarny,Naprzedniekoła,Diesel,,Audi,A5,190KM,43999,Automatyczna,2011
1587cm3,Srebrny,Naprzedniekoła,Benzyna,308000km,Peugeot,206CC,110KM,7500,Manualna,2004
1984cm3,Czarny,4x4dołączanyautomatycznie,Benzyna,26086km,Audi,A5,230KM,65999,Automatyczna,2017
6162cm3,Brązowy,Natylnekoła,Benzyna,1300km,Chevrolet,Corvette,482KM,749000,Automatyczna,2021
2996cm3,Czarny,4x4dołączanyautomatycznie,Benzyna,4653km,MercedesBenz,KlasaC,390KM,369000,Automatyczna,2019
6162cm3,Innykolor,Natylnekoła,Benzyna,50km,Chevrolet,Corvette,466KM,739990,Automatyczna,2021
6162cm3,Niebieski,Natylnekoła,Benzyna,50km,Chevrolet,Corvette,482KM,739990,Automatyczna,2022
6162cm3,Czerwony,Natylnekoła,Benzyna,50km,Chevrolet,Corvette,482KM,739990,Automatyczna,2022
1985cm3,Żółty,Naprzedniekoła,Benzyna,270000km,Saab,900,185KM,28900,Manualna,1997
1998cm3,Szary,Natylnekoła,Benzyna,38524km,Mazda,MX5,160KM,109900,Manualna,2018
1796cm3,Niebieski,Naprzedniekoła,Benzyna,95000km,Opel,Astra,140KM,13900,Manualna,2007
6162cm3,Niebieski,Natylnekoła,Benzyna,50km,Chevrolet,Corvette,466KM,739990,Automatyczna,2021
1781cm3,Srebrny,Naprzedniekoła,BenzynaLPG,314000km,Audi,A4,163KM,27900,Manualna,2006
4966cm3,Czarny,Natylnekoła,Benzyna,112000km,MercedesBenz,SL,306KM,154000,Automatyczna,2000
1598cm3,Srebrny,Naprzedniekoła,Benzyna,165000km,Peugeot,207,120KM,13900,Manualna,2007
5461cm3,Czarny,Natylnekoła,Benzyna,36360km,MercedesBenz,SL,564KM,409900,Automatyczna,2014
4966cm3,Czarny,Natylnekoła,Benzyna,29000km,MercedesBenz,SL,306KM,109000,Automatyczna,2006
2996cm3,Innykolor,Natylnekoła,Benzyna,185392km,BMW,Seria3,218KM,21900,Automatyczna,2008
2996cm3,Czarny,Natylnekoła,Benzyna,147300km,BMW,Seria3,272KM,49500,Automatyczna,2008
1798cm3,Szary,Natylnekoła,Benzyna,191000km,Mazda,MX5,126KM,26500,Manualna,2006
1598cm3,Czerwony,Naprzedniekoła,Benzyna,103048km,MINI,Cooper,115KM,28500,Manualna,2005
2000cm3,Srebrny,Naprzedniekoła,Benzyna,198000km,Fiat,124Spider,110KM,57999,Manualna,1981
1998cm3,Innykolor,Natylnekoła,Benzyna,5500km,Mazda,MX5,184KM,209100,Manualna,2019
6208cm3,Czerwony,Natylnekoła,Benzyna,17476km,MercedesBenz,SLS,571KM,999000,Automatyczna,2012
4966cm3,Srebrny,Natylnekoła,Benzyna,115353km,MercedesBenz,SL,306KM,65999,Automatyczna,2003
2979cm3,Bordowy,Natylnekoła,Benzyna,181000km,BMW,Z4,231KM,57900,Manualna,2005
4395cm3,Szary,Natylnekoła,Benzyna,217000km,BMW,Seria6,408KM,135000,Automatyczna,2011
2993cm3,Czarny,Natylnekoła,Diesel,246000km,BMW,Seria3,231KM,42000,Manualna,2007
3900cm3,Czerwony,Natylnekoła,Benzyna,50600km,Ferrari,California,560KM,599000,Automatyczna,2015
2979cm3,Biały,Natylnekoła,Benzyna,88700km,BMW,Seria6,320KM,117900,Automatyczna,2011
2778cm3,Beżowy,Natylnekoła,Benzyna,79453km,MercedesBenz,Inny,170KM,676500,Manualna,1969
5547cm3,Niebieski,Natylnekoła,Benzyna,201590km,MercedesBenz,SL,227KM,139900,Automatyczna,1987
3199cm3,Szary,Natylnekoła,Benzyna,73042km,MercedesBenz,W12419841993,220KM,159000,Automatyczna,1992
1998cm3,Niebieski,Naprzedniekoła,Benzyna,164450km,Renault,Megane,136KM,8900,Manualna,2005
1598cm3,Czerwony,Natylnekoła,Benzyna,228000km,Mazda,MX5,116KM,26800,Manualna,1991
875cm3,Biały,Naprzedniekoła,Benzyna,74906km,Fiat,500,85KM,34900,Automatyczna,2011
1796cm3,Zielony,Natylnekoła,Benzyna,304000km,BMW,Z3,115KM,38705,Manualna,1996
1984cm3,Czarny,Naprzedniekoła,Benzyna,234000km,Volkswagen,Eos,150KM,25500,Manualna,2007
5038cm3,Czarny,Natylnekoła,Benzyna,10km,Ford,Mustang,450KM,292500,Automatyczna,2020
5987cm3,Niebieski,Natylnekoła,Benzyna,134000km,MercedesBenz,SL,394KM,295200,Automatyczna,1996
4978cm3,Czarny,Natylnekoła,Benzyna,3841km,MercedesBenz,SL,326KM,369000,Automatyczna,1990
1587cm3,Czerwony,Naprzedniekoła,Benzyna,220000km,Peugeot,206CC,110KM,10200,Automatyczna,2002
1984cm3,Czarny,4x4stały,Benzyna,68500km,Audi,TT,230KM,109500,Automatyczna,2016
5038cm3,Niebieski,Natylnekoła,Benzyna,10500km,Ford,Mustang,460KM,182500,Automatyczna,2018
1499cm3,Szary,4x4stały,Hybryda,39975km,BMW,i8,374KM,469900,Automatyczna,2018
1242cm3,Szary,Naprzedniekoła,Benzyna,46000km,Fiat,500,69KM,34900,Manualna,2015
1391cm3,Fioletowy,Naprzedniekoła,Benzyna,75000km,Ford,Escort,71KM,16900,Manualna,1992
1598cm3,Niebieski,Naprzedniekoła,Benzyna,198499km,Volkswagen,Eos,115KM,18950,Manualna,2006
2996cm3,Innykolor,Natylnekoła,Benzyna,78000km,BMW,Z4,258KM,99000,Automatyczna,2010
2979cm3,Biały,Natylnekoła,Benzyna,204910km,BMW,Seria3,231KM,42000,Automatyczna,2007
3731cm3,Szary,Natylnekoła,Benzyna,64000km,Ford,Mustang,305KM,26900,Automatyczna,2014
1998cm3,Niebieski,Naprzedniekoła,Benzyna,108000km,Renault,Megane,163KM,15900,Manualna,2005
1997cm3,Srebrny,Naprzedniekoła,Diesel,199000km,Volvo,C70,136KM,29500,Manualna,2008
1795cm3,Niebieski,Natylnekoła,Benzyna,137000km,MercedesBenz,SLK,163KM,33500,Manualna,2005
1991cm3,Czarny,Natylnekoła,Benzyna,32400km,MercedesBenz,KlasaE,184KM,170970,Automatyczna,2015
1984cm3,Niebieski,Naprzedniekoła,Benzyna,200000km,Volkswagen,Eos,150KM,19900,Manualna,2007
3800cm3,Niebieski,Natylnekoła,Benzyna,160000km,MercedesBenz,SL,160KM,88000,Automatyczna,1984
2981cm3,Czerwony,4x4stały,Benzyna,8100km,Porsche,911,450KM,836400,Automatyczna,2019
1997cm3,Srebrny,Naprzedniekoła,Diesel,219450km,Ford,Focus,136KM,15500,Manualna,2008
1796cm3,Czarny,Naprzedniekoła,Benzyna,260000km,Opel,Astra,140KM,16900,Manualna,2008
1998cm3,Czarny,Naprzedniekoła,Benzyna,180000km,Renault,Megane,136KM,9700,Manualna,2005
1364cm3,Czarny,Naprzedniekoła,Benzyna,207200km,Opel,Tigra,90KM,10600,Manualna,2005
2979cm3,Szary,Natylnekoła,BenzynaLPG,235300km,BMW,Seria3,231KM,59900,Automatyczna,2004
2979cm3,Czarny,Natylnekoła,Benzyna,323000km,BMW,Seria3,231KM,49999,Automatyczna,2004
2979cm3,Szary,Natylnekoła,Benzyna,31000km,BMW,M4,431KM,235000,Automatyczna,2015
1587cm3,Zielony,Naprzedniekoła,Benzyna,143000km,Peugeot,206CC,110KM,8900,Manualna,2004
1896cm3,Srebrny,Naprzedniekoła,Diesel,196000km,Volkswagen,NewBeetle,105KM,20800,Manualna,2008
1598cm3,Czarny,Naprzedniekoła,Benzyna,200000km,Opel,Astra,105KM,15900,Manualna,2006
1457cm3,Brązowy,Naprzedniekoła,Benzyna,304500km,Volkswagen,Golf,70KM,27500,Manualna,1983
4973cm3,Biały,Natylnekoła,Benzyna,46700km,MercedesBenz,SL,307KM,119000,Automatyczna,2000
1999cm3,Czarny,Natylnekoła,Benzyna,120000km,Mazda,MX5,160KM,57000,Manualna,2011
4999cm3,Biały,Natylnekoła,Benzyna,148500km,BMW,M6,507KM,105900,Automatyczna,2008
